scenario_id,timestamp,node_22_wind,node_25_wind,node_18_PV,node_33_PV
8,2023-04-19 00:00:00,0.4475107491016388,0.3851513733686331,0.0,0.0
8,2023-04-19 00:15:00,0.337938517332077,0.3877838107108449,0.0,0.0
8,2023-04-19 00:30:00,0.2934570610523224,0.34344850003394084,0.0,0.0
8,2023-04-19 00:45:00,0.2282206416130066,0.22716290080067617,0.0,0.0
8,2023-04-19 01:00:00,0.2202940285205841,0.24368863210951666,0.0,0.0
8,2023-04-19 01:15:00,0.25520527362823486,0.24109981571653155,0.0,0.0
8,2023-04-19 01:30:00,0.2146478295326233,0.18315510352948963,0.0,0.0
8,2023-04-19 01:45:00,0.140674889087677,0.14189561378161253,0.0,0.0
8,2023-04-19 02:00:00,0.06760096549987793,0.07357855149384779,0.0,0.0
8,2023-04-19 02:15:00,0.04809117317199707,0.042508549024905834,0.0,0.0
8,2023-04-19 02:30:00,0.035306066274642944,0.03314688677435093,0.0,0.0
8,2023-04-19 02:45:00,0.01663455367088318,0.01557391038772939,0.0,0.0
8,2023-04-19 03:00:00,0.002478361129760742,0.0025914932600837647,0.0,0.0
8,2023-04-19 03:15:00,0.003928661346435547,0.003261220026913318,0.0,0.0
8,2023-04-19 03:30:00,0.0005304217338562012,0.00044203384675546657,0.0,0.0
8,2023-04-19 03:45:00,0.006207644939422607,0.006629421871647886,0.0,0.0
8,2023-04-19 04:00:00,0.010273516178131104,0.010001925139527317,0.0,0.0
8,2023-04-19 04:15:00,0.021029114723205566,0.018548692173432545,0.0,0.0
8,2023-04-19 04:30:00,0.02376335859298706,0.027660093555061507,0.0,0.0
8,2023-04-19 04:45:00,0.015891194343566895,0.014232670739925235,0.0,0.0
8,2023-04-19 05:00:00,0.012743115425109863,0.01029943990358498,0.0,0.0
8,2023-04-19 05:15:00,0.008765250444412231,0.009236671087974598,0.0,0.0
8,2023-04-19 05:30:00,0.006763279438018799,0.008017440515906468,0.0,0.0
8,2023-04-19 05:45:00,0.003883183002471924,0.004276542025474414,0.0,0.0
8,2023-04-19 06:00:00,0.005484819412231445,0.006219791232294667,0.0,0.0
8,2023-04-19 06:15:00,0.010075628757476807,0.00983633860947738,0.0,0.0
8,2023-04-19 06:30:00,0.007944554090499878,0.007983853903825031,0.0,0.0
8,2023-04-19 06:45:00,0.0032960474491119385,0.0026636599800095606,0.0,0.0
8,2023-04-19 07:00:00,0.001910865306854248,0.001794110606116111,0.0,0.0
8,2023-04-19 07:15:00,0.0,0.0,0.0,0.0
