Scenario,Method,DataType,FileName
SingleScenario,centralized,hourly_aggregate,day_single_plot_data_csv\SingleScenario_centralized_hourly_aggregate.csv
SingleScenario,centralized,community_hourly,day_single_plot_data_csv\SingleScenario_centralized_community_hourly.csv
SingleScenario,centralized,node_voltage,day_single_plot_data_csv\SingleScenario_centralized_node_voltage.csv
SingleScenario,centralized,solution_scalars,day_single_plot_data_csv\SingleScenario_centralized_solution_scalars.csv
