Scenario,Method,TimeSlot,DataSum_Pload,DataSum_Hload,DataSum_H2load,DataSum_Ppv,DataSum_Pwind,DataSum_PcompFixed,Sum_Pgrid,Sum_Pch,Sum_Pdis,Sum_PpvUse,Sum_PpvCurt,Sum_PwindUse,Sum_PwindCurt,Sum_Pchp,Sum_Hchp,Sum_Fgas,Sum_Peb,Sum_Heb,Sum_Pelec,Sum_H2prod,Sum_H2cons_fc,Sum_Pfc,Sum_Pcomp,Sum_Hch,Sum_Hdis,Sum_H2ch,Sum_H2dis,Sum_H2short,Sum_Hdump,Sum_Qpv,Sum_Qes,Sum_QinjLocal,Sum_PinjLocal,Sum_CarbonEmission_kg,Sum_CarbonQuota_kg,Sum_CarbonBuyMarket_kg,Sum_CarbonSellMarket_kg,Sum_CarbonTradeWithCommunities_kg,Sum_CarbonUnusedAllowance_kg,Mean_SOC_e,Mean_SOC_th,Mean_SOC_h2,Mean_V,TotalRenewableAvailable_MW,TotalRenewableUsed_MW,TotalRenewableCurtailment_MW
S1_Normal_NoStorage_NoCarbon,centralized,1,1.37,2.285,7.6,0,0.286379527888359,0,0.696756849136678,0,0,0,0,0.286379527888359,0,1.39298366054465,1.79097899212883,3.97995331584185,0.610920037569685,0.592592436442595,0.38,7.6,0,0,0.0152,0,0,0,0,0,0.0985714285714287,0,0,0,0,2085.000811435,2017.40952245454,2021.84515261895,0,0,-4.14956957683899e-12,0,0,0,0,0.286379527888359,0.286379527888359,0
S1_Normal_NoStorage_NoCarbon,centralized,2,1.3,2.23,7.6,0,0.514207995603925,0,0.675740163453512,0,0,0,0,0.514207995603925,0,1.254,1.61228571428571,3.58285714285714,0.748748159057437,0.726285714285714,0.38,7.6,0,0,0.0152,0,0,0,0,0,0.108571428571429,0,0,0,0,1929.35349115836,1851.43350223987,0,0,0,0,0,0,0,0,0.514207995603925,0.514207995603925,0
S1_Normal_NoStorage_NoCarbon,centralized,3,1.35,2.19,15.2,0,0.596629884103712,0,1.32153005698613,0,0,0,0,0.596629884103712,0,1.119,1.43871428571429,3.19714285714286,0.896759941089838,0.869857142857143,0.76,15.2,0,0,0.0304,0,0,0,0,0,0.118571428571429,0.315007676376545,0,0,0,2497.66797531644,2175.21146376019,0,0,0,0,0,0,0,0,0.596629884103712,0.596629884103712,0
S1_Normal_NoStorage_NoCarbon,centralized,4,1.32,2.18,15.2,0,0.185157457746489,0,2.00663282207678,0,0,0,0,0.185157457746489,0,0.984,1.26514285714286,2.81142857142857,1.06539027982327,1.03342857142857,0.76,15.2,0,0,0.0304,0,0,0,0,0,0.118571428571429,1.4111009823356,0,0,0,3108.44036075721,2527.60919577475,0,0,0,0,0,0,0,0,0.185157457746489,0.185157457746489,0
S1_Normal_NoStorage_NoCarbon,centralized,5,1.39,2.23,17.1,0,0.0858883798631616,0,2.00199939627822,0,0,0,0,0.0858883798631616,0,1.119,1.43871428571429,3.19714285714286,0.927687776141384,0.899857142857143,0.855,17.1,0,0,0.0342,0,0,0,0,0,0.108571428571429,1.33891332131933,0,0,0,3232.57486175191,2670.59314276483,0,0,0,0,0,0,0,0,0.0858883798631616,0.0858883798631616,0
S1_Normal_NoStorage_NoCarbon,centralized,6,1.65,2.41,19,0,0.0812069723928077,0,2.06214564462101,0,0,0,0,0.0812069723928077,0,1.31150447944751,1.68622004500394,3.74715565556431,0.816857096461329,0.792351383567489,0.95,19,0,0,0.038,0,0,0,0,0,0.0685714285714287,1.43917289422141,0,0,0,3481.679173922,2923.07882404625,0,0,0,0,0,0,0,0,0.0812069723928077,0.0812069723928077,0
S1_Normal_NoStorage_NoCarbon,centralized,7,2,2.685,22.8,0,0.0301728583511295,0,2.15173969278616,0,0,0,0,0.0301728583511295,0,1.63844444444444,2.10657142857143,4.68126984126984,0.634756995581738,0.615714285714286,1.14,22.8,0,0,0.0456,0,0,0,0,0,0.0372857142857144,2.0682734308574,0,0,0,3891.1857062662,3342.74757947976,2384.25133485738,0,0,0,0,0,0,0,0.0301728583511295,0.0301728583511295,0
S1_Normal_NoStorage_NoCarbon,centralized,8,2.56,3.015,26.6,0,0.965646515614945,0,1.90673659680528,0,0,0,0,0.965646515614945,0,1.80866666666667,2.32542857142857,5.16761904761905,0.737849779086892,0.715714285714286,1.33,26.6,0,0,0.0532,0,0,0,0,0,0.0261428571428571,1.61737209398929,0,0,0,3789.41391529256,3348.92775198282,0,0,0,0,0,0,0,0,0.965646515614945,0.965646515614945,0
S1_Normal_NoStorage_NoCarbon,centralized,9,2.81,3.23,30.4,0.882678055627816,2.20613179011129,0,0.523470002572677,0,0,0.882678055627816,0,2.20613179011129,0,1.76669739265124,2.27146807626588,5.04770683614639,0.988177240963015,0.958531923734124,1.52,30.4,0,0,0.0608,0,0,0,0,0,0,0.0119460427294085,0,0,0,2255.33893185214,2296.40966815638,0,0,0,0,0,0,0,0,3.0888098457391,3.0888098457391,0
S1_Normal_NoStorage_NoCarbon,centralized,10,2.99,3.36,34.2,1.78508140950646,1.55526355036916,0,0.60641630526528,0,0,1.78508140950646,0,1.55526355036916,0,1.79814863899261,2.3119053929905,5.13756753997888,1.08050990413351,1.0480946070095,1.61,32.2,0,0,0.0644,0,0,0,0,2,0,0.63251434825079,0,0,0,2375.00664207673,2390.89170694205,0,0,0,0,0,0,0,0,3.34034495987562,3.34034495987562,0
S1_Normal_NoStorage_NoCarbon,centralized,11,3.26,3.43,38,2.83612798082368,1.39797575599208,0,0.827094939473251,0,0,2.83612798082368,0,1.39797575599208,0,1.50630658568699,1.93667989588328,4.30373310196283,1.539505261976,1.49332010411672,1.7,34,0,0,0.068,0,0,0,0,4,1.11022302462516e-16,1.05642334145614,0,0,0,2334.16864527939,2235.15204133791,0,0,0,0,0,0,0,0,4.23410373681576,4.23410373681576,0
S1_Normal_NoStorage_NoCarbon,centralized,12,3.29,3.47,38,4.7337685313909,2.13226089815937,0,0.0176071111875449,0,0,4.7337685313909,0,2.13226089815937,0,0.956210825599435,1.22941391862784,2.7320309302841,2.78184736633726,2.69839194534714,1.7,34,0,0,0.068,0,0,0,0,4,0.457805863974983,0.105179932022384,0,0,0,933.709962618581,1049.47149715204,0,0,0,0,0,0,0,0,6.86602942955028,6.86602942955028,0
S1_Normal_NoStorage_NoCarbon,centralized,13,3.26,3.47,38,7.23753542021206,3.26811328105857,0,0,0,0,7.23753542021206,0,1.59178666157058,1.67632661948798,0.713210825599435,0.916985347199273,2.03774521599839,3.76653290738207,3.65353692016061,2.8,56,22,0.396,0.112,0,0,0,0,4,1.10052226735989,0.113396626172291,0,0,0,682.244800993176,773.210774458933,0,0,0,0,0,0,0,0,10.5056487012706,8.82932208178264,1.67632661948798
S1_Normal_NoStorage_NoCarbon,centralized,14,3.29,3.46,38,7.90189517504483,4.27372675146741,0,0,0,0,7.90189517504483,0,1.42708147584844,2.84664527561897,0.560210825599435,0.720271061484988,1.60060235885553,3.97921651134909,3.85984001600862,2.95289847815237,59.0579695630474,25.0579695630474,0.451043452134854,0.118115939126095,0,0,0,0,4,1.12011107749361,0.100532077145355,0,0,0,535.887720021747,607.339416024647,0,0,0,0,0,0,0,0,12.1756219265122,9.32897665089327,2.84664527561897
S1_Normal_NoStorage_NoCarbon,centralized,15,3.1,3.46,36.1,9.01617474943792,4.60780097167109,0,0,0,0,9.01617474943792,0,0.97739147801001,3.63040949366108,0.54,0.694285714285714,1.54285714285714,4.79776622744793,4.6538332406245,3,60,26.9,0.4842,0.12,0,0,0,0,3,1.88811895491021,0.0666260979469906,0,0,0,516.554403428572,585.428323885714,0,0,0,0,0,0,0,0,13.623975721109,9.99356622744793,3.63040949366108
S1_Normal_NoStorage_NoCarbon,centralized,16,3.08,3.45,36.1,7.96783807654061,2.2463776881979,0,0,0,0,7.96783807654061,0,1.19321529368336,1.05316239451454,0.675,0.867857142857143,1.92857142857143,4.12025337022397,3.99664576911725,3,60,26.9,0.4842,0.12,0,0,0,0,3,1.4145029119744,0.0582759055113563,0,0,0,645.693004285714,731.785404857143,0,0,0,0,0,0,0,0,10.2142157647385,9.16105337022397,1.05316239451454
S1_Normal_NoStorage_NoCarbon,centralized,17,3.24,3.44,34.2,7.22071005645925,0.292378182183845,0,0.118677579398003,0,0,7.22071005645925,0,0.292378182183845,0,0.845928047222346,1.08762177500016,2.41693727777813,2.70819386526344,2.62694804930554,2.8675,57.35,25.15,0.4527,0.1147,0,0,0,0,2,0.274569824305699,0.279053143422984,0,0,0,937.371522372871,1003.49031264118,0,0,0,0,0,0,0,0,7.5130882386431,7.5130882386431,0
S1_Normal_NoStorage_NoCarbon,centralized,18,3.33,3.39,32.3,4.47433042843815,0.0121675654704514,0,1.02949457829326,0,0,4.47433042843815,0,0.0121675654704514,0,1.35292804722235,1.7394789178573,3.86550870634956,1.70156812592031,1.6505210821427,1.87345954927043,37.4691909854087,6.16919098540867,0.111045437737356,0.0749383819708173,0,0,0,0,1,0,1.74868629471911,0,0,0,2406.04107106546,2216.21723637407,0,0,0,0,0,0,0,0,4.4864979939086,4.4864979939086,0
S1_Normal_NoStorage_NoCarbon,centralized,19,3.56,3.27,30.4,2.46544424742343,0.360883710600495,0,1.9928743425946,0,0,2.46544424742343,0,0.360883710600495,0,1.58794479916404,2.04164331321091,4.5369851404687,1.26634709978256,1.22835668678909,1.52,30.4,0,0,0.0608,0,0,0,0,0,0,2.69596673650019,0,0,0,3671.30406483492,3172.34559955265,0,0,0,0,0,0,0,0,2.82632795802392,2.82632795802392,0
S1_Normal_NoStorage_NoCarbon,centralized,20,3.52,3.1,26.6,0.184355204532185,3.30625834843548,0,1.40653154905939,0,0,0.184355204532185,0,3.30625834843548,0,1.58611111111111,2.03928571428571,4.53174603174603,1.51205621313816,1.46669452674402,1.43,28.6,2,0.036,0.0572,0,0,0,0,0,0.405980241029734,0.564652878671109,0,0,0,3036.29977441271,2743.50009600095,0,0,0,0,0,0,0,0,3.49061355296766,3.49061355296766,0
S1_Normal_NoStorage_NoCarbon,centralized,21,3.14,2.92,22.8,0,4.45220715233622,0,1.26293333333333,0,0,0,0,3.84,0.612207152336222,1.35866666666667,1.74685714285714,3.88190476190476,2,1.94,1.34,26.8,4,0.072,0.0536,0,0,0,0,0,0.766857142857143,0.281070067668673,0,0,0,2663.64438788571,2392.38203960381,0,0,0,0,0,0,0,0,4.45220715233622,3.84,0.612207152336222
S1_Normal_NoStorage_NoCarbon,centralized,22,2.84,2.72,19,0,4.01978130884229,0,1.15466666666667,0,0,0,0,3.644,0.375781308842295,1.23333333333333,1.58571428571429,3.52380952380952,2,1.94,1.25,25,6,0.108,0.05,0,0,0,0,0,0.805714285714286,0.0378119236079854,0,0,0,2426.82474857143,2177.68671504762,0,0,0,0,0,0,0,0,4.01978130884229,3.644,0.375781308842295
S1_Normal_NoStorage_NoCarbon,centralized,23,2.19,2.52,17.1,0,3.39569315577134,0,0.7374,0,0,0,0,3.39569315577134,0,1.1412667511083,1.46734296571067,3.2607621460237,1.95715990687964,1.89844510967325,1.205,24.1,7,0.126,0.0482,0,0,0,0,0,0.845788075383916,0,0,0,0,1888.10749216965,1774.10475779227,0,0,0,0,0,0,0,0,3.39569315577134,3.39569315577134,0
S1_Normal_NoStorage_NoCarbon,centralized,24,1.89,2.38,15.2,0,3.93138988692847,0,0.6288,0,0,0,0,3.338,0.593389886928465,1.03750626979101,1.33393663258844,2.96430362797431,2.05190626979101,1.99034908169728,1.16,23.2,8,0.144,0.0464,0,0,0,0,0,0.944285714285714,0,0,0,0,1671.56405971351,1582.55446767531,0,0,0,0,0,0,0,0,3.93138988692847,3.338,0.593389886928465
