TotalRepresentativeDays,AnnualObjective_Yuan,AnnualGridEnergy_MWh,AnnualGasEnergy_MWhth,AnnualCarbonEmission_tCO2,AnnualCarbonQuota_tCO2,AnnualCarbonBuyMarket_tCO2,AnnualCarbonSellMarket_tCO2,AnnualCarbonTradeAbs_tCO2,AnnualRenewableAvailable_MWh,AnnualRenewableUse_MWh,AnnualRenewableCurtailment_MWh,AnnualRenewableUseRate_percent,AnnualH2Shortage_kg
365,9802582.60113221,5913.22664530752,28047.490657438,15776.6906685571,18713.6128736323,0,2936.92220507522,2759.44565866425,36384.0273320314,35300.5182504947,1083.50908153671,97.0220199329533,0
365,9804111.95346608,5609.02164792665,28354.2702493894,15550.8602383979,18713.6128736323,1.74236160606199e-06,3162.75263698288,0.0024344845382899,36384.0273320314,35300.5183147644,1083.50901726704,97.0220201095958,2.60307382739399e-06
