TypicalScenario,TypicalScenarioCN,RepresentativeDays,DailyOpCost_Yuan,AnnualOpCost_Yuan,DailyEmission_tCO2,AnnualEmission_tCO2,RenAvail_MWh,RenUse_MWh,RenCurt_MWh,RenUseRate_percent,RenCurtRate_percent,AvgMinVoltage_pu,GridVoltageDeviation_pu
Sunny_LowWind,晴天少风,94,60031.6630700294,5642976.32858276,95.155390446329,8944.60670195493,17.8096508600235,17.8096508600235,0,100,0,0.950768525700492,0.026726752443103
Sunny_HighWind,晴天多风,51,54254.3897139621,2766973.87541207,83.2881862383412,4247.6974981554,28.573802851923,28.573802851923,0,100,0,0.951001078815634,0.0269381351984113
Cloudy_MidWind,多云中风,72,61005.9804205562,4392430.59028004,97.1442471643213,6994.38579583114,14.8583195785628,14.8583195785628,0,100,0,0.950806285331111,0.0270378628347994
Rainy_LowWind,阴天少风,69,66820.2123734405,4610594.65376739,106.866135083938,7373.76332079172,4.244750465759,4.244750465759,0,100,0,0.950739863365532,0.0270580663868605
Rainy_HighWind,阴天多风,79,61457.9260471156,4855176.15772213,97.2985293676067,7686.58382004093,12.8886770161552,12.8886770161552,0,100,0,0.950854653468503,0.0274307340209789
