Scenario,ScenarioCN,Method,Status,TotalObjective_Yuan,GridEnergy_MWh,GasEnergy_MWhth,CarbonEmission_kg,CarbonQuota_kg,CarbonSurplusBeforeTrade_kg,CarbonBuyMarket_kg,CarbonSellMarket_kg,CarbonTradeAbs_kg,CarbonUnusedAllowance_kg,RenewableAvailable_MWh,RenewableUse_MWh,RenewableCurtailment_MWh,RenewableUseRate_percent,AvgMinimumVoltage_pu,GridVoltageDeviation_pu
S1_Normal_NoStorage_NoCarbon,场景1-正常新能源-无储能-无碳交易,centralized-multi-energy-pq,Solved,62701.6641795034,44.9734857389512,81.8477328157623,75974.2949292146,63797.3519932567,-12176.9429359579,13022.3884988219,0,0,845.445562863998,61.09796136046,57.9540586941773,3.14390266628268,94.8543247658714,0.952775040303801,0.0268923796812711
S1_Normal_NoStorage_NoCarbon,场景1-正常新能源-无储能-无碳交易,admm-fixed-multi-energy-rhoPQ-rhoC-relative-residual-gurobi-feeder,Solved,62701.5810910232,44.9734857389512,81.8477328157623,75974.2949292146,63797.3519932567,-12176.9429359579,13022.3884988219,0,0,845.445562863998,61.09796136046,57.9540586941773,3.14390266628268,94.8543247658714,0.952881362474741,0.0268657971776528
S2_Normal_WithStorage_NoCarbon,场景2-正常新能源-有储能-无碳交易,centralized-multi-energy-pq,Solved,41459.0213894234,19.8880393624952,102.557157713458,55815.6065800167,63797.3519932567,7981.74541324002,8676.33122937118,0,0,16658.0766427785,61.09796136046,60.6417707327635,0.456190627696486,99.2533455821789,0.956008856276056,0.0246608351021839
S2_Normal_WithStorage_NoCarbon,场景2-正常新能源-有储能-无碳交易,admm-fixed-multi-energy-rhoPQ-rhoC-relative-residual-gurobi-feeder,Solved,41459.1826992647,19.6915729818238,102.797550398341,55683.9072684748,63797.3519932567,8113.4447247819,8536.55331372649,0,0,16649.9980385094,61.09796136046,60.6417691105019,0.456192249958056,99.2533429269977,0.957286836263526,0.0244327438536097
S3_Normal_WithStorage_Carbon,场景3-正常新能源-有储能-有碳交易,centralized-multi-energy-pq,Solved,39578.7774431068,18.467942593248,102.919803705428,54403.317318143,63797.3519932567,9394.03467511375,8384.88157060075,17778.9162457146,10237.4297823886,0,61.09796136046,60.6417707384862,0.456190621973784,99.2533455915454,0.95697217310931,0.0249397866390003
S3_Normal_WithStorage_Carbon,场景3-正常新能源-有储能-有碳交易,admm-fixed-multi-energy-rhoPQ-rhoC-relative-residual-gurobi-feeder,Solved,39578.2312751541,18.4074599965734,102.994105356303,54362.8725873078,63797.3519932567,9434.4794059489,8341.02145401923,17779.5001341134,3925.99251312629,0,61.09796136046,60.6417697795096,0.456191580950375,99.2533440219732,0.957557892869074,0.0248441789078432
S4_HighRE_WithStorage_Carbon,场景4-高新能源-有储能-有碳交易,centralized-multi-energy-pq,Solved,38644.6035922545,17.387815597961,101.900058964304,52895.3657692699,63797.3519932567,10901.9862239869,8090.48506733991,18992.471291709,10330.7300190054,0,63.3197054099312,62.6407987531169,0.678906656814366,98.9278114097039,0.957025535610194,0.0248778899417001
S4_HighRE_WithStorage_Carbon,场景4-高新能源-有储能-有碳交易,admm-fixed-multi-energy-rhoPQ-rhoC-relative-residual-gurobi-feeder,Solved,38644.8055627564,17.4234666231605,101.856240673616,52919.1983471296,63797.3519932567,10878.1536461271,8114.42358373771,18991.5273353753,3352.61628086276,0,63.3197054099312,62.6407978150823,0.678907594848957,98.9278099282779,0.958290705419871,0.0246772544360494
