TotalRepresentativeDays,AnnualObjective_Yuan,AnnualGridEnergy_MWh,AnnualGasEnergy_MWhth,AnnualCarbonEmission_tCO2,AnnualCarbonQuota_tCO2,AnnualCarbonBuyMarket_tCO2,AnnualCarbonSellMarket_tCO2,AnnualCarbonTradeAbs_tCO2,AnnualRenewableAvailable_MWh,AnnualRenewableUse_MWh,AnnualRenewableCurtailment_MWh,AnnualRenewableUseRate_percent,AnnualH2Shortage_kg
365,13368360.3644949,9189.39196868004,31793.5578662705,20569.1466794505,18753.7611535786,2843.62412524199,1028.2385993916,1267.49601251424,27561.3170118022,26530.859062246,1030.45794955622,96.2612165844072,1.12526556067079e-05
365,13372186.5304215,9081.85593272385,31958.2803720631,20508.1574782083,18737.9779326717,2801.10048131475,1030.90536690974,602.023254793472,27561.3170118022,26530.8591610012,1030.45785080095,96.2612169427183,7.31737689241534e-06
