Scenario,Method,DDREScenarioId,Node,TimeSlot,VoltageSquared,VoltagePU
S4_DDRE_001,centralized-multi-energy-pq,1,1,1,1.1025,1.05
S4_DDRE_001,centralized-multi-energy-pq,1,2,1,1.09940622306912,1.04852573791449
S4_DDRE_001,centralized-multi-energy-pq,1,3,1,1.08483818119907,1.0415556543935
S4_DDRE_001,centralized-multi-energy-pq,1,4,1,1.0772702092446,1.03791628238726
S4_DDRE_001,centralized-multi-energy-pq,1,5,1,1.06981796150826,1.03432004790986
S4_DDRE_001,centralized-multi-energy-pq,1,6,1,1.05064564320147,1.02501006980491
S4_DDRE_001,centralized-multi-energy-pq,1,7,1,1.04417027422263,1.02184650228037
S4_DDRE_001,centralized-multi-energy-pq,1,8,1,1.03872996213382,1.01918102520299
S4_DDRE_001,centralized-multi-energy-pq,1,9,1,1.02968882254685,1.01473583880084
S4_DDRE_001,centralized-multi-energy-pq,1,10,1,1.02113746930289,1.01051346814523
S4_DDRE_001,centralized-multi-energy-pq,1,11,1,1.02008171766292,1.00999094929753
S4_DDRE_001,centralized-multi-energy-pq,1,12,1,1.0182147573188,1.00906627994339
S4_DDRE_001,centralized-multi-energy-pq,1,13,1,1.007638049408,1.00381175994705
S4_DDRE_001,centralized-multi-energy-pq,1,14,1,1.00242817741185,1.00121335259367
S4_DDRE_001,centralized-multi-energy-pq,1,15,1,0.998972581175389,0.999486158571188
S4_DDRE_001,centralized-multi-energy-pq,1,16,1,0.995574665026954,0.99778487913325
S4_DDRE_001,centralized-multi-energy-pq,1,17,1,0.986521002678624,0.993237636559663
S4_DDRE_001,centralized-multi-energy-pq,1,18,1,0.983761837850378,0.991847688836536
S4_DDRE_001,centralized-multi-energy-pq,1,19,1,1.09881867512047,1.04824552234697
S4_DDRE_001,centralized-multi-energy-pq,1,20,1,1.09484404741669,1.04634795714269
S4_DDRE_001,centralized-multi-energy-pq,1,21,1,1.09406152131789,1.04597395824078
S4_DDRE_001,centralized-multi-energy-pq,1,22,1,1.0933536895581,1.04563554336972
S4_DDRE_001,centralized-multi-energy-pq,1,23,1,1.08093644493977,1.03968093420038
S4_DDRE_001,centralized-multi-energy-pq,1,24,1,1.0736832186221,1.03618686472185
S4_DDRE_001,centralized-multi-energy-pq,1,25,1,1.07007365609356,1.03444364568282
S4_DDRE_001,centralized-multi-energy-pq,1,26,1,1.04907429522602,1.02424327931699
S4_DDRE_001,centralized-multi-energy-pq,1,27,1,1.04701906951115,1.02323949763052
S4_DDRE_001,centralized-multi-energy-pq,1,28,1,1.03856567382904,1.01910042381948
S4_DDRE_001,centralized-multi-energy-pq,1,29,1,1.03260985101617,1.0161741243587
S4_DDRE_001,centralized-multi-energy-pq,1,30,1,1.02999829286925,1.01488831546592
S4_DDRE_001,centralized-multi-energy-pq,1,31,1,1.02572530708726,1.01278097685889
S4_DDRE_001,centralized-multi-energy-pq,1,32,1,1.02478541904441,1.01231685703855
S4_DDRE_001,centralized-multi-energy-pq,1,33,1,1.02449424459241,1.01217303095489
S4_DDRE_001,centralized-multi-energy-pq,1,1,2,1.1025,1.05
S4_DDRE_001,centralized-multi-energy-pq,1,2,2,1.09829374913916,1.04799510931071
S4_DDRE_001,centralized-multi-energy-pq,1,3,2,1.07770669832139,1.03812653290502
S4_DDRE_001,centralized-multi-energy-pq,1,4,2,1.065554279379,1.0322568863316
S4_DDRE_001,centralized-multi-energy-pq,1,5,2,1.05331316124363,1.02631046045708
S4_DDRE_001,centralized-multi-energy-pq,1,6,2,1.02397522700648,1.01191661069798
S4_DDRE_001,centralized-multi-energy-pq,1,7,2,1.01774386066856,1.00883292009557
S4_DDRE_001,centralized-multi-energy-pq,1,8,2,1.0125026855302,1.0062319243247
S4_DDRE_001,centralized-multi-energy-pq,1,9,2,1.00379967843767,1.00189803794481
S4_DDRE_001,centralized-multi-energy-pq,1,10,2,0.995568965318766,0.997782022948282
S4_DDRE_001,centralized-multi-energy-pq,1,11,2,0.994550531299586,0.997271543412117
S4_DDRE_001,centralized-multi-energy-pq,1,12,2,0.992749509510447,0.996368159622961
S4_DDRE_001,centralized-multi-energy-pq,1,13,2,0.982543650350483,0.991233398524526
S4_DDRE_001,centralized-multi-energy-pq,1,14,2,0.977515591995987,0.988693881844116
S4_DDRE_001,centralized-multi-energy-pq,1,15,2,0.97418027175502,0.987005710092409
S4_DDRE_001,centralized-multi-energy-pq,1,16,2,0.970900458243499,0.985342812549774
S4_DDRE_001,centralized-multi-energy-pq,1,17,2,0.962159873362797,0.980897483615284
S4_DDRE_001,centralized-multi-energy-pq,1,18,2,0.95949582560812,0.979538577907027
S4_DDRE_001,centralized-multi-energy-pq,1,19,2,1.09772718504581,1.04772476588359
S4_DDRE_001,centralized-multi-energy-pq,1,20,2,1.09389450833145,1.04589411908255
S4_DDRE_001,centralized-multi-energy-pq,1,21,2,1.09313992959333,1.045533323043
S4_DDRE_001,centralized-multi-energy-pq,1,22,2,1.09245737753924,1.04520685873144
S4_DDRE_001,centralized-multi-energy-pq,1,23,2,1.07394430978564,1.0363128435881
S4_DDRE_001,centralized-multi-energy-pq,1,24,2,1.06695012726504,1.03293277964495
S4_DDRE_001,centralized-multi-energy-pq,1,25,2,1.06346947768394,1.03124656493195
S4_DDRE_001,centralized-multi-energy-pq,1,26,2,1.019765218775,1.00983425312028
S4_DDRE_001,centralized-multi-energy-pq,1,27,2,1.01401070074197,1.00698098330702
S4_DDRE_001,centralized-multi-energy-pq,1,28,2,0.991810943917771,0.995897054879555
