Scenario,Method,TimeSlot,DataSum_Pload,DataSum_PloadFixed,DataSum_PdrShiftBase,DataSum_PdrShiftMax,DataSum_PdrCutEmax,DataSum_Hload,DataSum_HdrCutMax,DataSum_H2load,DataSum_H2drCutMax,DataSum_Ppv,DataSum_Pwind,DataSum_PcompFixed,Sum_Pgrid,Sum_Pch,Sum_Pdis,Sum_PpvUse,Sum_PpvCurt,Sum_PwindUse,Sum_PwindCurt,Sum_Pchp,Sum_Hchp,Sum_Fgas,Sum_Peb,Sum_Heb,Sum_Pelec,Sum_H2prod,Sum_H2cons_fc,Sum_Pfc,Sum_Pcomp,Sum_Hch,Sum_Hdis,Sum_H2ch,Sum_H2dis,Sum_H2short,Sum_Hdump,Sum_PdrShift,Sum_PdrShiftDev,Sum_PdrCutE,Sum_HdrCut,Sum_H2drCut,Sum_PloadDR,Sum_HloadDR,Sum_H2loadDR,Sum_Qpv,Sum_Qwind,Sum_Qes,Sum_QinjLocal,Sum_PinjLocal,Sum_CarbonEmission_kg,Sum_CarbonQuota_kg,Sum_CarbonBuyMarket_kg,Sum_CarbonSellMarket_kg,Sum_CarbonTradeWithCommunities_kg,Sum_CarbonUnusedAllowance_kg,Mean_SOC_e,Mean_SOC_th,Mean_SOC_h2,Mean_V,TotalRenewableAvailable_MW,TotalRenewableUsed_MW,TotalRenewableCurtailment_MW
S4_DDRE_038,centralized,1,1.37,1.2204,0.1496,0.3592,0.0712,2.285,0.1538,7.6,0.68,0,4.41537697500935,0,0,1.24889535743523,0.300055388542481,0,0,4.41537697500935,0,0.421824845900725,0.542346230443789,1.20521384543064,1.55214780410691,1.50558336998371,0.929426602078508,18.5885320415702,0,0,0.0371770640831403,0.0551517133937978,0.275422112966303,21.4942660207851,10.5057339792149,0,2.43945488809238e-17,0.149210381748761,0.000389618251239059,0,0.0168,0,1.36961038174876,2.2682,7.6,0,0,0,0,0,403.510151158515,457.311504646317,0,53.8013534878019,0,0,2.22353427071678,5.34932537135846,85.1295106805234,0,4.41537697500935,4.41537697500935,0
S4_DDRE_038,centralized,2,1.3,1.1576,0.1424,0.3448,0.0672,2.23,0.15,7.6,0.68,0,2.86744926943089,0,0,0.0872211797390753,0.528913263136023,0,0,2.86744926943089,0,0.421824845900725,0.542346230443789,1.20521384543064,1.46436253256692,1.42043165658991,0.929426602078508,18.5885320415702,0,0,0.0371770640831403,0,0.251222112966303,13.8385320415702,2.85,0,2.42861286636753e-17,0.1424,0,0,0.016,0,1.3,2.214,7.6,0,0,0,0,0,403.510151158515,457.311504646317,0,53.8013534878019,0,0,2.06557070986712,5.26117726154572,88.7923546943801,0,2.86744926943089,2.86744926943089,0
S4_DDRE_038,centralized,3,1.35,1.2046,0.1454,0.3508,0.0704,2.19,0.1472,15.2,1.36,0,1.85660841084729,0,1.68456684688467,0.427221179739075,0,0,0,1.85660841084729,0,0.841824845900725,1.08234623044379,2.40521384543064,1.63917525773196,1.59,0.929426602078508,18.5885320415702,0,0,0.0371770640831403,0.482346230443789,0,10.65,7.26146795842983,0,0,0.145400000000001,0,0,0,0,1.35,2.19,15.2,0.331155704342605,0.331155704342605,0.331155704342605,0,0,2624.60688179396,2139.00930997836,485.597571815602,0,5.6843418860808e-14,0,2.2008574167845,5.41392023451958,89.9218653749035,0,1.85660841084729,1.85660841084729,0
S4_DDRE_038,centralized,4,1.32,1.1776,0.1424,0.3448,0.0686,2.18,0.1464,15.2,1.36,0,1.30891738668264,0,5.13633041336777,2.1988573608317,0,0,0,1.30891738668264,0,0.840000000000001,1.08,2.4,2.17578677305706,2.11051316986535,1.52942660207851,30.5885320415702,0,0,0.0611770640831403,1.01051316986535,0,26.8,11.4114679584298,0,0,0.1424,0,0,0,0,1.32,2.18,15.2,1.41599186732901,1.41599186732901,1.41599186732901,0,0,6350.76591843719,4649.91482253174,1700.85109590546,0,0,0,2.89716224771454,5.73391607164361,95.0513760554269,0,1.30891738668264,1.30891738668264,0
S4_DDRE_038,centralized,5,1.39,1.2404,0.1496,0.3592,0.0726,2.23,0.15,17.1,1.53,0,0.691091278343641,0,5.12942400896276,1.35122851424934,0.00460366616164826,0,0,0.691091278343641,0,0.6825,0.877500000000001,1.95,2.17578677305706,2.11051316986535,1.52942660207851,30.5885320415702,0,0,0.0611770640831403,0.828013169865348,0.0699999999999993,25.525,12.0364679584298,0,5.55111512312578e-17,0.1496,0,0,0,0,1.39,2.23,17.1,1.44199865387192,1.44199865387192,1.44199865387192,0,0,6192.64530067978,4474.13703232489,1718.50826835489,0,0,0,3.3234359557666,5.9715588385922,99.5475534026169,0,0.691091278343641,0.691091278343641,0
S4_DDRE_038,centralized,6,1.65,1.4742,0.1758,0.4116,0.0876,2.41,0.1632,19,1.7,0,1.46202302071058,0,0,0,1.0548850208031,0,0,1.46202302071058,0,0.525,0.675,1.5,0.709274046511503,0.687995825116158,0.656378841348248,13.127576826965,0,0,0.0262551536539299,0,1.02780417488384,0.539044785394797,6.41146795842983,0,8.32667268468867e-17,0.1758,0,0,0.0192,0,1.65,2.3908,19,0,0,0,0,0,502.20567,569.166426,0,66.9607559999999,0,0,2.95330086074797,5.61092579477331,97.5900790116053,0,1.46202302071058,1.46202302071058,0
S4_DDRE_038,centralized,7,2,1.786,0.214,0.488,0.108,2.685,0.1832,22.8,2.04,0,1.53278732442227,0,0,0,1.03460366616165,0,0,1.53278732442227,0,0.75,0.964285714285714,2.14285714285714,0.634756995581738,0.615714285714286,0.656378841348248,13.127576826965,0,0,0.0262551536539299,0,1.079,14.0137884134825,23.6862115865175,0,5.55111512312578e-17,0.214,0,0,0.026,0,2,2.659,22.8,0,0,0,0,0,717.436671428571,813.094894285714,0,95.6582228571428,0,0,2.59028203051581,5.23232930354524,94.3659379539269,0,1.53278732442227,1.53278732442227,0
S4_DDRE_038,centralized,8,2.56,2.286,0.274,0.608,0.1436,3.015,0.2076,26.6,2.38,0,1.29885065533304,0,0,0,1.93163311875603,0,0,1.29885065533304,0,0.75,0.964285714285714,2.14285714285714,0.737849779086892,0.715714285714286,0.656378841348248,13.127576826965,0,0,0.0262551536539299,0,1.297,12.6637884134825,26.1362115865175,0,-5.55111512312578e-17,0.274,0,0,0.038,0,2.56,2.977,26.6,0,0,0,0,0,717.436671428571,813.094894285714,0,95.6582228571428,0,0,1.91251602393475,4.77724158424699,89.8751302295819,0,1.29885065533304,1.29885065533304,0
S4_DDRE_038,centralized,9,2.81,2.5094,0.3006,0.6612,0.1556,3.23,0.2232,30.4,2.72,0.643819599802743,0.971638082158652,0,0,0,1.91808001161881,0.643819599802743,0,0.971638082158652,0,0.75,0.964285714285714,2.14285714285714,0.790903698578022,0.767176587620682,0.656378841348248,13.127576826965,0,0,0.0262551536539299,0,1.4473376980936,14.5195223926974,31.7919455657324,0,1.11022302462516e-16,0.3006,0,0,0.0512,0,2.81,3.1788,30.4,0,0,0,0,0,717.436671428571,813.094894285714,0,95.6582228571428,0,0,1.23950549354218,4.26940379544222,84.1176558385702,0,1.61545768196139,1.61545768196139,0
S4_DDRE_038,centralized,10,2.99,2.6698,0.3202,0.7004,0.1644,3.36,0.2324,34.2,3.06,1.84671938379884,0.282361480377929,0,0,0,1.58445682940343,1.84671938379884,0,0.282361480377929,0,0.75,0.964285714285714,2.14285714285714,0.790903698578022,0.767176587620682,0.656378841348248,13.127576826965,0,0,0.0262551536539299,0,1.5653376980936,20.0137884134825,41.0862115865175,0,0,0.3202,0,0,0.0632,0,2.99,3.2968,34.2,0,0,0,0,0,717.436671428571,813.094894285714,0,95.6582228571428,0,0,0.683555728839226,3.72016249786552,77.0935147808919,0,2.12908086417677,2.12908086417677,0
S4_DDRE_038,centralized,11,3.26,2.9124,0.3476,0.7552,0.1816,3.43,0.2372,38,3.4,3.96947591731029,0.0835283108308465,0,0,0,0.846133827191793,3.96947591731029,0,0.0835283108308465,0,0.75,0.964285714285714,2.14285714285714,1.32527295573651,1.28551476706442,1.0229472111504,20.458944223008,0,0,0.0409178884460161,0,1.10899951864987,12.279472111504,29.820527888496,0,-2.77555756156289e-17,0.3476,0,0,0.0712,0,3.26,3.3588,38,0.019460642651877,0.019460642651877,0.019460642651877,0,0,717.436671428571,813.094894285714,0,95.6582228571428,0,0,0.386666666666667,3.33103985974276,71.2464961885612,0,4.05300422814114,4.05300422814114,0
S4_DDRE_038,centralized,12,3.29,2.9382,0.3518,0.7636,0.1828,3.47,0.24,38,3.4,7.36282554947805,0.0471974043680317,0,0,0.446580865250426,0.40303923088851,7.36282554947805,0,0.0471974043680317,0,0.748714588646962,0.962633042546095,2.13918453899132,3.03109739398143,2.94016447216198,1.72509472514394,34.5018945028788,0,0,0.0690037890057577,0.432797514708079,0,28.8009472514394,32.2990527485606,0,0,0.3518,0,0,0,0,3.29,3.47,38,0.030780829519868,0.030780829519868,0.030780829519868,0,0,716.207069771852,811.701345741432,0,95.4942759695802,0,0,0.386666666666667,3.46809240606698,70.0804610228542,0,7.41002295384608,7.41002295384608,0
S4_DDRE_038,centralized,13,3.26,2.9104,0.3496,0.7592,0.18,3.47,0.24,38,3.4,9.31570485286983,0.0296050129652931,0,0,0.737360318429113,0.144568605840788,9.31570485286983,0,0.0296050129652931,0,0.486214588646962,0.625133042546095,1.38918453899132,3.66347946928957,3.55357508521088,2.22620506981173,44.5241013962345,0,0,0.0890482027924691,1.68926713983937,0.98055901208239,29.1620506981173,22.6379493018827,0,0,0.3496,0,0,0,0,3.26,3.47,38,0.0377107419452683,0.0377107419452683,0.0377107419452683,0,0,465.104234771852,527.118132741432,0,62.0138979695802,0,0,0.569438274225083,3.65897120663633,72.2551614882657,0,9.34530986583513,9.34530986583513,0
S4_DDRE_038,centralized,14,3.29,2.9372,0.3528,0.7656,0.1826,3.46,0.2396,38,3.4,14.1649997662009,0.112946753714652,0,0,2.65956487110523,0.0433153516407002,14.1649997662009,0,0.112946753714652,0,0.225,0.289285714285714,0.642857142857143,5.80017414457516,5.6261689202379,2.57357966911142,51.4715933822284,0,0,0.102943186764457,2.79295463452361,0.3375,28.7857966911142,15.3142033088858,0,6.10622663543836e-16,0.4728,0.12,0,0,0,3.41,3.46,38,0.0357361815118042,0.0357361815118042,0.0357361815118042,0,0,215.231001428571,243.928468285714,0,28.6974668571428,0,0,1.396435447745,4.42498578827056,76.7456926156751,0,14.2779465199156,14.2779465199156,0
S4_DDRE_038,centralized,15,3.1,2.7668,0.3332,0.7264,0.168,3.46,0.24,36.1,3.23,16.3449667452011,0.141533946718412,0,0,3.29946092433783,0,15.7430165316141,0.601950213587004,0.141533946718412,0,0,0,0,6,5.82,3,60,0,0,0.12,2.53755367670696,0.177553676706962,26.9,3,0,0,0.69828955399468,0.36508955399468,0,0,0,3.46508955399468,3.46,36.1,0.0608559174491126,0.0608559174491126,0.0606662259689297,0,0,0,0,0,0,0,0,2.44126474045198,5.16624491687444,84.7123592823418,0,16.4865006919195,15.8845504783325,0.601950213587004
S4_DDRE_038,centralized,16,3.08,2.75,0.33,0.72,0.1664,3.45,0.2396,36.1,3.23,14.546353444483,0.0297091633600262,0,0,2.62076280093017,0.21751222797362,14.546353444483,0,0.0297091633600262,0,0,0,0,5.80169807988965,5.62764713749296,3,60,0,0,0.12,2.17764713749296,0,34.275,10.375,0,0,0.501113954996803,0.171113954996803,0,0,0,3.2511139549968,3.45,36.1,0.0339489074737333,0.0339489074737333,0.0339489074737333,0,0,0,0,0,0,0,0,3.19485288075579,5.85583317708055,92.6790259490085,0,14.576062607843,14.576062607843,0
