Scenario,Method,TimeSlot,DataSum_Pload,DataSum_PloadFixed,DataSum_PdrShiftBase,DataSum_PdrShiftMax,DataSum_PdrCutEmax,DataSum_Hload,DataSum_HdrCutMax,DataSum_H2load,DataSum_H2drCutMax,DataSum_Ppv,DataSum_Pwind,DataSum_PcompFixed,Sum_Pgrid,Sum_Pch,Sum_Pdis,Sum_PpvUse,Sum_PpvCurt,Sum_PwindUse,Sum_PwindCurt,Sum_Pchp,Sum_Hchp,Sum_Fgas,Sum_Peb,Sum_Heb,Sum_Pelec,Sum_H2prod,Sum_H2cons_fc,Sum_Pfc,Sum_Pcomp,Sum_Hch,Sum_Hdis,Sum_H2ch,Sum_H2dis,Sum_H2short,Sum_Hdump,Sum_PdrShift,Sum_PdrShiftDev,Sum_PdrCutE,Sum_HdrCut,Sum_H2drCut,Sum_PloadDR,Sum_HloadDR,Sum_H2loadDR,Sum_Qpv,Sum_Qwind,Sum_Qes,Sum_QinjLocal,Sum_PinjLocal,Sum_CarbonEmission_kg,Sum_CarbonQuota_kg,Sum_CarbonBuyMarket_kg,Sum_CarbonSellMarket_kg,Sum_CarbonTradeWithCommunities_kg,Sum_CarbonUnusedAllowance_kg,Mean_SOC_e,Mean_SOC_th,Mean_SOC_h2,Mean_V,TotalRenewableAvailable_MW,TotalRenewableUsed_MW,TotalRenewableCurtailment_MW
S4_DDRE_016,centralized,1,1.37,1.2204,0.1496,0.3592,0.0712,2.285,0.1538,7.6,0.68,0,1.06522576276034,0,0.0649000152669518,1.18947401764973e-08,1.8754489650285,0,0,1.06522576245265,3.07690761758295e-10,0.749999998229411,0.964285712009243,2.14285713779832,0.766674739122317,0.743674496948648,1.39125000133697,27.8250000267395,4.59934704913776e-08,8.27882468844796e-10,0.055650000053479,0.344960216158686,0.835000003228901,33.1129714489299,12.8879714613476,1.67977107662029e-09,9.08145929406721e-10,0.321599991298302,0.172000008646404,1.90587082348919e-09,0.0870000048800394,5.17165951372528e-09,1.54199998939243,2.19799999511996,7.59999999482834,1.52590539846027e-05,-2.01575226773565e-06,-6.60328725784556e-06,0,0,787.528686223165,860.342103480513,1.67218004822423e-05,72.8134339796483,5.45334444268519e-10,0,1.27528106866895,5.24475494451028,88.2083333291941,0,1.06522576276034,1.06522576245265,3.07690761758295e-10
S4_DDRE_016,centralized,2,1.3,1.1576,0.1424,0.3448,0.0672,2.23,0.15,7.6,0.68,0,0.437806767585179,0,4.59098789515681,2.46013886852256e-08,4.00278166752437e-08,0,0,0.437806767249518,3.3566077695113e-10,0.749999997900776,0.964285711586712,2.14285713685936,1.96667471192949,1.90767447057161,2.25549997069213,45.1099994138427,4.41113419901535e-08,7.94004155822763e-10,0.0902199988276853,1.53716018542211,0.809999999299694,44.3143975809399,6.80439820438181,1.67937560570477e-09,9.07334937144304e-10,0.30879999674571,0.166400009024169,1.66948446115969e-09,0.0852000048714296,5.15954287990448e-09,1.46639999507623,2.14479999512857,7.59999999484046,1.2914661876742,1.29145895334584,1.29149847845487,0,0,5675.70359618985,4155.33407968405,1520.36953082532,1.43199911922691e-05,5.26057419847348e-10,0,1.27528106241705,5.44731181050524,100.711666454697,0,0.437806767585179,0.437806767249518,3.3566077695113e-10
S4_DDRE_016,centralized,3,1.35,1.2046,0.1454,0.3508,0.0704,2.19,0.1472,15.2,1.36,0,0.524855201394792,0,7.00256230140622,1.53079042477898,1.70195443642051e-08,0,0,0.524855201029058,3.6573422068642e-10,0.749999997410202,0.964285710955974,2.14285713545772,2.35880710701255,2.28804289380218,2.7642499652606,55.284999305212,4.23070567683677e-08,7.61527021830618e-10,0.110569998610424,1.58828571548926,0.441957106771344,45.7992064988724,5.71420722899418,1.66548075458813e-09,9.07704557039759e-10,0.30840002350621,0.163000030360463,1.54502611563125e-09,0.0840000048674686,5.32726462211013e-09,1.51300002196118,2.10599999513253,15.1999999946727,2.27075729215532,2.21313118007521,1.96562205951381,0,0,8280.20395446994,5910.96024690178,2369.24372167145,1.41054411054702e-05,1.56629553771381e-09,0,1.76003135762136,5.79519628471699,114.07333287799,0,0.524855201394792,0.524855201029058,3.6573422068642e-10
S4_DDRE_016,centralized,4,1.32,1.1776,0.1424,0.3448,0.0686,2.18,0.1464,15.2,1.36,0,0.949627258281411,0,7.06546907873765,2.53221877343714,1.72262390372528e-08,0,0,0.949627257921088,3.60323437753607e-10,1.16977156554213,1.50399201283988,3.34220447297751,2.05184914433073,1.99029367000081,2.99999997669027,59.9999995338054,4.22272820225005e-08,7.60091076405009e-10,0.119999999067611,1.58828571802367,0.190000034388165,49.2008738681889,4.40087436963596,1.66768290334046e-09,9.20259695999386e-10,0.303200028196177,0.160800034980404,1.55347006063159e-09,0.0840000017150817,5.35112295777676e-09,1.48080002664271,2.09599999828492,15.1999999946489,2.27900498185299,2.22547268323947,1.92746918885679,0,0,8749.68929612244,6411.84187255156,2337.84743774967,1.41816288411099e-05,5.26902965702902e-10,0,2.56190062982469,6.23148675001369,129.006666045736,0,0.949627258281411,0.949627257921088,3.60323437753607e-10
S4_DDRE_016,centralized,5,1.39,1.2404,0.1496,0.3592,0.0726,2.23,0.15,17.1,1.53,0,1.09995129921989,0,7.00425874247118,2.89926114235955,1.74767604781207e-08,0,0,1.09995129886915,3.50735662735246e-10,1.1853155533887,1.52397714007119,3.38661586682487,2.05186442536046,1.99030849259965,2.67500000823897,53.5000001647794,4.17842749363769e-08,7.52116948854784e-10,0.107000000329559,1.56948571063419,0.200000075094809,43.1721812876786,6.77218115766805,1.66639258787357e-09,9.28527751769798e-10,0.316000038172946,0.166400044752379,1.55278419132071e-09,0.0852000037970678,5.38196740763215e-09,1.55640003662016,2.14479999620293,17.099999994618,2.42118093575367,2.26639872994383,1.78410859408541,0,0,8698.45123548982,6384.13239728943,2314.31885238841,1.41954038723721e-05,6.33036734143388e-10,0,3.4799999854408,6.65831509342461,141.139999422424,0,1.09995129921989,1.09995129886915,3.50735662735246e-10
S4_DDRE_016,centralized,6,1.65,1.4742,0.1758,0.4116,0.0876,2.41,0.1632,19,1.7,0,0.733456935286985,0,2.04794314311371,3.37236110722189e-08,3.12127693074513e-07,0,0,0.733456934972117,3.14868353612496e-10,1.49199972574092,1.9182853616669,4.26285635925977,0.800000017934002,0.776000017395982,1.57500007359421,31.5000014718842,4.33384734814523e-08,7.80092522666142e-10,0.0630000029437684,0.38165680711388,0.00857143121467203,27.5979288441327,15.0979274085383,1.66437028687018e-09,9.47337347456667e-10,0.361199990382296,0.185400010464214,1.84525276069734e-09,0.0887999977836642,5.40592690154181e-09,1.83539998853704,2.32120000221634,18.9999999945941,0.452253911655905,0.452266399595561,0.45227188962267,0,0,3638.99901724002,3108.41908722095,530.579944440434,1.44217903143036e-05,5.29126964465831e-10,0,3.47999988660147,6.77616556263162,145.306666567623,0,0.733456935286985,0.733456934972117,3.14868353612496e-10
S4_DDRE_016,centralized,7,2,1.786,0.214,0.488,0.108,2.685,0.1832,22.8,2.04,0,0.787561882554239,0,1.19346322391536,1.6196856540503e-08,1.34251255284496e-07,0,0,0.787561882327857,2.26382024237637e-10,1.75839978529855,2.26079972395529,5.0239993865673,0.537025037146514,0.520914286032118,1.0099999909288,20.199999818576,3.77930597876197e-08,6.80275076177155e-10,0.0403999996371519,0.191514037009877,2.43886688401966e-08,19.7515091501232,22.3515093620375,1.68115512044307e-09,8.83512596416836e-10,0.365999989986818,0.152000021141489,7.42470708344839e-09,0.094800003517317,5.62393853121388e-09,2.15199998256211,2.59019999648268,22.7999999943761,0.404587540691453,0.404597860339615,0.404610146090909,0,0,2970.994267169,2775.16907706285,195.825204924657,1.48189446904096e-05,5.31798605152289e-10,0,3.47999984462479,6.83681166578636,144.439999830315,0,0.787561882554239,0.787561882327857,2.26382024237637e-10
S4_DDRE_016,centralized,8,2.56,2.286,0.274,0.608,0.1436,3.015,0.2076,26.6,2.38,0,0.264918389399511,0,0.952281651655095,1.37408785664202e-08,0.0724715980254327,0,0,0.264918389203918,1.95592930740673e-10,2.01888889956503,2.59571429944075,5.76825399875722,6.35944859886872e-09,6.16866514090266e-09,0.93931628094482,18.7863256188964,3.80010543445237e-08,6.84018978201426e-10,0.0375726512377928,0.296428612458605,0.614914303479663,17.0294758029623,24.8431502147324,1.68729655760926e-09,8.58122128910566e-10,0.164070906386672,0.109929112698839,0.118399319536565,0.100800004227649,5.63206700367571e-09,2.33167158685011,2.91419999577235,26.5999999943679,0.373031993089553,0.373038378669122,0.373049781086061,0,0,2959.69742657154,2881.99205089348,77.7053903242295,1.46465135788945e-05,5.00492092214699e-10,0,3.45457121808997,6.71492132166658,141.835441693047,0,0.264918389399511,0.264918389203918,1.95592930740673e-10
S4_DDRE_016,centralized,9,2.81,2.5094,0.3006,0.6612,0.1556,3.23,0.2232,30.4,2.72,0,0.0219744236077764,0,1.89651201500692e-08,1.19905348566231e-08,1.45508753770697,0,0,0.0219744234251522,1.82624117217589e-10,1.99555559704326,2.56571433905561,5.70158742012359,4.7114624109208e-09,4.57011853859318e-09,0.87439628004767,17.4879256009534,3.71732530397983e-08,6.6911855471637e-10,0.0349758512019068,0.131428650410196,0.69011430370498,14.7276856532027,27.6397600821212,1.69853128096e-09,9.03028873899814e-10,0.120201800394574,0.180398216823374,0.0663563705393462,0.105600003982512,5.60792911929145e-09,2.56324542985523,3.12439999601749,30.3999999943921,-6.67955292475806e-06,-8.33781842193591e-06,7.94591392507643e-06,0,0,1908.91304074015,2163.43477009881,1.5407593226365e-05,254.521744766671,5.6488147492928e-10,0,2.94401419111262,6.51439502457585,137.531416883402,0,0.0219744236077764,0.0219744234251522,1.82624117217589e-10
S4_DDRE_016,centralized,10,2.99,2.6698,0.3202,0.7004,0.1644,3.36,0.2324,34.2,3.06,0.147877689918506,0.0614224772563821,0,1.27658198369403e-08,1.18500063212172e-08,1.48881829130904,0.147877689154652,7.63853258423097e-10,0.0614224770641127,1.92269450360882e-10,1.93333337339391,2.48571433722074,5.52380963826831,4.57186981923862e-09,4.43471372466146e-09,0.874396078765813,17.4879215753163,3.69805451957751e-08,6.65649813523951e-10,0.0349758431506325,7.73264736446829e-08,0.765085732423022,13.2441683748618,29.9562468292863,1.70483196921077e-09,9.07579011943938e-10,0.125327453214688,0.194872564077803,0.0730475472414143,0.109200004155578,5.55494308334872e-09,2.72207990597327,3.25079999584442,34.1999999944451,-2.26403435034007e-05,-2.49243529843755e-05,-7.4935339615783e-06,0,0,1849.39236067975,2095.97800243853,1.54091776114213e-05,246.585657168395,5.29800203707964e-10,0,2.42162181194961,6.24594391490063,131.960724065255,0,0.209300167174888,0.209300166218765,9.5612270878398e-10
