Scenario,Method,TimeSlot,DataSum_Pload,DataSum_Hload,DataSum_H2load,DataSum_Ppv,DataSum_Pwind,DataSum_PcompFixed,Sum_Pgrid,Sum_Pch,Sum_Pdis,Sum_PpvUse,Sum_PpvCurt,Sum_PwindUse,Sum_PwindCurt,Sum_Pchp,Sum_Hchp,Sum_Fgas,Sum_Peb,Sum_Heb,Sum_Pelec,Sum_H2prod,Sum_H2cons_fc,Sum_Pfc,Sum_Pcomp,Sum_Hch,Sum_Hdis,Sum_H2ch,Sum_H2dis,Sum_H2short,Sum_Hdump,Sum_Qpv,Sum_Qes,Sum_QinjLocal,Sum_PinjLocal,Sum_CarbonEmission_kg,Sum_CarbonQuota_kg,Sum_CarbonBuyMarket_kg,Sum_CarbonSellMarket_kg,Sum_CarbonTradeWithCommunities_kg,Sum_CarbonUnusedAllowance_kg,Mean_SOC_e,Mean_SOC_th,Mean_SOC_h2,Mean_V,TotalRenewableAvailable_MW,TotalRenewableUsed_MW,TotalRenewableCurtailment_MW
Rainy_LowWind,centralized,1,1.4385,2.39925,7.6,0,0.257741575099523,0,0,0,1.29078214331188,0,0,0.257741575099523,0,0.99,1.27285714285714,2.82857142857143,0.684023718411403,0.663503006859061,0.4,8,0,0,0.016,0.0880714285714286,0.550961278855224,4,3.6,0,0,0,0,0,0,947.016406285714,2133.82920756612,0,0,0,-8.13997758086771e-11,2.89709398480285,3.83456953874754,30.1333333333333,0,0.257741575099523,0.257741575099523,0
Rainy_LowWind,centralized,2,1.365,2.3415,7.6,0,0.462787196043532,0,0,0,1.03855751279914,0,0,0.462787196043532,0,0.963679009568733,1.23901586944551,2.75336859876781,0.684023718411403,0.663503006859061,0.4,8,0,0,0.016,0.0985714285714286,0.537552552266853,4,3.6,0,0,0,0,0,0,921.838214600766,1974.9308218275,0,0,0,0,2.53268783996105,3.67716889384188,30.2666666666667,0,0.462787196043532,0.462787196043532,0
Rainy_LowWind,centralized,3,1.4175,2.2995,15.2,0,0.536966895693341,0,3.63935473862589,0.717366979595171,0,0,0,0.536966895693341,0,0.828679009568733,1.06544444087409,2.36765431305352,1.38466699762613,1.34312698769734,1.42833333333333,28.5666666666667,0,0,0.0571333333333333,0.109071428571429,0,14.3833333333333,1.01666666666667,0,0,1.63032614042377,1.63032614042377,0,0,4723.20273145958,2299.40328093158,0,0,0,0,2.75985405016618,3.71170817955616,34.7222222222222,0,0.536966895693341,0.536966895693341,0
Rainy_LowWind,centralized,4,1.386,2.289,15.2,0,0.16664171197184,0,6.90087516340899,2.70212260357282,0,0,0,0.16664171197184,0,0.693679009568733,0.891873012302657,1.98194002733924,1.56360661471007,1.51669841626877,2.02833333333333,40.5666666666667,0,0,0.0811333333333333,0.119571428571429,0,25.3666666666667,0,0,0,3.12451449524898,3.12451449524898,0,0,8116.50618936819,2650.33375521419,0,0,0,0,3.61552620796425,3.74957246527045,43.1777777777778,0,0.16664171197184,0.16664171197184,0
Rainy_LowWind,centralized,5,1.4595,2.3415,17.1,0,0.0772995418768454,0,6.74734610198888,2.66721676233755,0,0,0,0.0772995418768454,0,0.828679009568733,1.06544444087409,2.36765431305352,1.41714122443025,1.37462698769734,2.02833333333333,40.5666666666667,0,0,0.0811333333333333,0.0985714285714286,0,23.4666666666667,0,0,0,3.12451449524897,3.12451449524897,0,0,8079.83340389162,2797.36646235246,0,0,0,0,4.46014484937113,3.78078675098473,51,0,0.0772995418768454,0.0772995418768454,0
Rainy_LowWind,centralized,6,1.7325,2.5305,19,0,0.073086275153527,0,0,0,1.83680142765371,0,0,0.073086275153527,0,1.29967900956873,1.67101586944551,3.71336859876781,0.874811143428778,0.848566809125914,0.579091893218457,11.5818378643691,0,0,0.0231636757287383,0.0565714285714287,0.0674887500000004,0,7.41816213563086,0,-1.11022302462516e-16,0,0,0,0,1243.24984340077,3027.90888813902,0,0,0,0,3.81565312036983,3.77502077354113,48.527279288123,0,0.073086275153527,0.073086275153527,0
Rainy_LowWind,centralized,7,2.1,2.81925,22.8,0,0.0271555725160166,0,0,0,1.77093104943843,0,0,0.0271555725160166,0,1.5736025438041,2.02320327060527,4.4960072680117,0.766526659741465,0.743530859949221,0.485733178862573,9.71466357725146,0,0,0.0194293271545029,0.018642857142857,0.0711587265883711,0,13.0853364227485,0,0,0,0,0,0,1505.28022823779,3494.50439927146,0,0,0,0,3.1942738047774,3.75595637072816,44.1655004805402,0,0.0271555725160166,0.0271555725160166,0
Rainy_LowWind,centralized,8,2.688,3.16575,26.6,0,0.86908186405345,0,0,0,1.388004757901,0,0,0.86908186405345,0,1.72787170149884,2.22154933049851,4.93677628999668,0.791795817436208,0.768041942913122,0.485733178862573,9.71466357725146,0,0,0.0194293271545029,0,0.176158726588371,0,16.8853364227485,0,0,0,0,0,0,1652.85136290527,3527.6395575939,0,0,0,0,2.70725459147881,3.69414629122347,38.5370550062907,0,0.86908186405345,0.86908186405345,0
Rainy_LowWind,centralized,9,2.9505,3.3915,30.4,0.794410250065034,1.98551861110016,0,0,0,0.214706606051956,0.794410250065034,0,1.98551861110016,0,1.76694678727064,2.27178872649083,5.04841939220184,1.1188849653261,1.08531841636631,0.66557431650163,13.3114863300326,0,0,0.0266229726600652,0,0.0343928571428572,0,17.0885136699674,0,0,0,0,0,0,1690.22989553448,2449.17966329956,0,0,0,0,2.63191894023251,3.68207862205054,32.8408837829682,0,2.77992886116519,2.77992886116519,0
Rainy_LowWind,centralized,10,3.1395,3.528,34.2,1.60657326855581,1.39973719533225,0,0,0,0.468612273634491,1.60657326855581,0,1.39973719533225,0,1.68959627360732,2.17233806606656,4.82741792459235,1.21312717784007,1.17673336250487,0.780665224317117,15.6133044863423,0,0,0.0312266089726847,0,0.178928571428572,0,18.5866955136577,0,-1.11022302462516e-16,0.0439236241244067,0.0439236241244067,0,0,1616.23776879328,2608.62424280844,0,0,0,0,2.46749358106251,3.61929666716332,26.645318611749,0,3.00631046388806,3.00631046388806,0
