datetime,power_kw
2010-06-01 00:00:00,528.5960832846558
2010-06-01 00:15:00,546.6887683219082
2010-06-01 00:30:00,564.7814533591605
2010-06-01 00:45:00,582.8741383964131
2010-06-01 01:00:00,600.9668234336655
2010-06-01 01:15:00,604.2811581712779
2010-06-01 01:30:00,607.5954929088902
2010-06-01 01:45:00,610.9098276465025
2010-06-01 02:00:00,614.224162384115
2010-06-01 02:15:00,654.5186039124114
2010-06-01 02:30:00,694.813045440708
2010-06-01 02:45:00,735.1074869690046
2010-06-01 03:00:00,775.4019284973011
2010-06-01 03:15:00,964.3911684524152
2010-06-01 03:30:00,1153.3804084075293
2010-06-01 03:45:00,1342.3696483626434
2010-06-01 04:00:00,1531.3588883177572
2010-06-01 04:15:00,1612.040468352613
2010-06-01 04:30:00,1692.7220483874687
2010-06-01 04:45:00,1773.4036284223246
2010-06-01 05:00:00,1854.0852084571802
2010-06-01 05:15:00,1946.1426954474086
2010-06-01 05:30:00,2038.200182437637
2010-06-01 05:45:00,2130.2576694278655
2010-06-01 06:00:00,2222.315156418094
2010-06-01 06:15:00,2192.3210504867334
2010-06-01 06:30:00,2162.3269445553724
2010-06-01 06:45:00,2132.332838624012
2010-06-01 07:00:00,2102.338732692651
2010-06-01 07:15:00,2066.9329861157908
2010-06-01 07:30:00,2031.527239538931
2010-06-01 07:45:00,1996.1214929620712
2010-06-01 08:00:00,1960.715746385211
2010-06-01 08:15:00,1947.4774275290506
2010-06-01 08:30:00,1934.23910867289
2010-06-01 08:45:00,1921.0007898167298
2010-06-01 09:00:00,1907.762470960569
2010-06-01 09:15:00,1908.2208067260078
2010-06-01 09:30:00,1908.679142491446
2010-06-01 09:45:00,1909.1374782568846
2010-06-01 10:00:00,1909.595814022323
2010-06-01 10:15:00,1990.1918412843477
2010-06-01 10:30:00,2070.787868546372
2010-06-01 10:45:00,2151.3838958083966
2010-06-01 11:00:00,2231.979923070421
2010-06-01 11:15:00,2224.130231279689
2010-06-01 11:30:00,2216.2805394889574
2010-06-01 11:45:00,2208.4308476982255
2010-06-01 12:00:00,2200.5811559074937
2010-06-01 12:15:00,2197.250293032188
2010-06-01 12:30:00,2193.9194301568828
2010-06-01 12:45:00,2190.588567281577
2010-06-01 13:00:00,2187.257704406272
2010-06-01 13:15:00,2322.066525263681
2010-06-01 13:30:00,2456.8753461210904
2010-06-01 13:45:00,2591.6841669785003
2010-06-01 14:00:00,2726.49298783591
2010-06-01 14:15:00,2770.0703560175198
2010-06-01 14:30:00,2813.6477241991297
2010-06-01 14:45:00,2857.2250923807396
2010-06-01 15:00:00,2900.8024605623496
2010-06-01 15:15:00,2845.547391836006
2010-06-01 15:30:00,2790.292323109663
2010-06-01 15:45:00,2735.03725438332
2010-06-01 16:00:00,2679.7821856569763
2010-06-01 16:15:00,2723.8293577581603
2010-06-01 16:30:00,2767.876529859344
2010-06-01 16:45:00,2811.923701960528
2010-06-01 17:00:00,2855.9708740617116
2010-06-01 17:15:00,2641.011148938318
2010-06-01 17:30:00,2426.051423814924
2010-06-01 17:45:00,2211.09169869153
2010-06-01 18:00:00,1996.1319735681366
2010-06-01 18:15:00,1936.7769678414454
2010-06-01 18:30:00,1877.4219621147547
2010-06-01 18:45:00,1818.0669563880635
2010-06-01 19:00:00,1758.7119506613724
2010-06-01 19:15:00,1782.3752326391023
2010-06-01 19:30:00,1806.0385146168321
2010-06-01 19:45:00,1829.7017965945618
2010-06-01 20:00:00,1853.3650785722916
2010-06-01 20:15:00,1911.7136297493992
2010-06-01 20:30:00,1970.0621809265065
2010-06-01 20:45:00,2028.4107321036138
2010-06-01 21:00:00,2086.7592832807213
2010-06-01 21:15:00,2001.8107916628298
2010-06-01 21:30:00,1916.8623000449384
2010-06-01 21:45:00,1831.9138084270471
2010-06-01 22:00:00,1746.9653168091559
2010-06-01 22:15:00,1786.011440989824
2010-06-01 22:30:00,1825.057565170492
2010-06-01 22:45:00,1864.1036893511596
2010-06-01 23:00:00,1903.1498135318277
2010-06-01 23:15:00,1903.1498135318277
2010-06-01 23:30:00,1903.1498135318277
2010-06-01 23:45:00,1903.1498135318277
