时间,0,1,2,3,4
2024-06-21 00:00:00+08:00,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997
2024-06-21 00:15:00+08:00,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997
2024-06-21 00:30:00+08:00,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997
2024-06-21 00:45:00+08:00,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997
2024-06-21 01:00:00+08:00,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997
2024-06-21 01:15:00+08:00,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997
2024-06-21 01:30:00+08:00,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997
2024-06-21 01:45:00+08:00,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997
2024-06-21 02:00:00+08:00,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997
2024-06-21 02:15:00+08:00,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997
2024-06-21 02:30:00+08:00,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997
2024-06-21 02:45:00+08:00,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997
2024-06-21 03:00:00+08:00,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997
2024-06-21 03:15:00+08:00,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997
2024-06-21 03:30:00+08:00,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997
2024-06-21 03:45:00+08:00,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997
2024-06-21 04:00:00+08:00,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997,-0.33749999999999997
