Scenario,ScenarioCN,Method,Status,TotalObjective_Yuan,GridEnergy_MWh,GasEnergy_MWhth,CarbonEmission_kg,CarbonQuota_kg,CarbonSurplusBeforeTrade_kg,CarbonBuyMarket_kg,CarbonSellMarket_kg,CarbonTradeAbs_kg,CarbonUnusedAllowance_kg,RenewableAvailable_MWh,RenewableUse_MWh,RenewableCurtailment_MWh,RenewableUseRate_percent,AvgMinimumVoltage_pu,GridVoltageDeviation_pu
S1_NoCarbon_NoDR,Scenario 1 - No carbon trading - No demand response,centralized-multi-energy-pq,Solved,39835.5581525821,28.7830968399641,98.4414639427273,64044.3188239201,58307.1453011539,-5737.1735227662,9048.01389907739,0,0,3310.84037632451,61.09796136046,60.4177709352983,0.680190425161633,98.8867215697285,0.955781889198227,0.0259863686146395
S1_NoCarbon_NoDR,Scenario 1 - No carbon trading - No demand response,admm-fixed-multi-energy-rhoPQ-rhoC-relative-residual-gurobi-feeder,Solved,39839.331165728,28.6953516057919,98.5380336236043,63981.885865205,58279.9095840929,-5701.9762811121,9020.72684531893,0,0,3318.75056123806,61.09796136046,60.417777447939,0.680183912520934,98.8867322290705,0.968367600807418,0.0240646801554282
S2_Normal_NoCarbon_DR,Scenario 2 - No carbon trading - With demand response,centralized-multi-energy-pq,Solved,38742.4817548398,20.2535066126043,103.308473663665,56461.854630238,58307.1453011539,1845.29067091587,2103.15553477624,0,0,3948.44620728613,61.09796136046,60.6417706195498,0.456190740910152,99.2533453968803,0.958487647860728,0.0253207367205014
S2_Normal_NoCarbon_DR,Scenario 2 - No carbon trading - With demand response,admm-fixed-multi-energy-rhoPQ-rhoC-relative-residual-gurobi-feeder,Solved,38749.1624422159,20.2535602801473,103.308413088548,56461.8923104065,58307.1453011539,1845.2529907474,2103.15286342744,0,0,3948.40584983151,61.09796136046,60.6417632712199,0.45619808924008,99.2533333697525,0.975590325159667,0.0230798237550297
S3_Carbon_NoDR,Scenario 3 - With carbon trading - No demand response,centralized-multi-energy-pq,Solved,39311.6423310249,23.602727296411,104.645324266486,60526.5956038693,58307.1453011539,-2219.45030271544,3406.12866330406,1186.67832828771,5132.59396962666,0,61.09796136046,60.417770732595,0.680190627864962,98.8867212379607,0.955793175268831,0.0256112710816906
S3_Carbon_NoDR,Scenario 3 - With carbon trading - No demand response,admm-fixed-multi-energy-rhoPQ-rhoC-relative-residual-gurobi-feeder,Solved,39311.8904886713,23.9789845057414,104.182944537049,60778.1469087349,58307.1453011539,-2471.00160758101,3667.32889296567,1187.03574497761,4765.86633477241,0,61.09796136046,60.4177707210149,0.680190639445106,98.8867212190073,0.956419656673125,0.0255818869224373
S4__Carbon_DR,Scenario 4 - With carbon trading - With demand response,centralized-multi-energy-pq,Solved,38117.9901631311,18.2459637696495,103.717218540575,54430.557689692,58307.1453011539,3876.58761146182,125.436789317331,4002.0243437539,6650.29859206745,0,61.09796136046,60.8346228347625,0.26333852569745,99.568989668667,0.960154400106344,0.0248979586453503
S4__Carbon_DR,Scenario 4 - With carbon trading - With demand response,admm-fixed-multi-energy-rhoPQ-rhoC-relative-residual-gurobi-feeder,Solved,38118.6114902719,18.2424421311602,103.734958278518,54432.6936514432,58307.1453011539,3874.45164971067,118.693843683741,4000.89309508925,5214.47145641249,0,61.09796136046,60.8337987935525,0.264162566907413,99.5676409473813,0.968995653107083,0.0236852916826797
