TypicalScenario,TypicalScenarioCN,RepresentativeDays,TotalObjective_Yuan,AnnualObjective_Yuan,GridEnergy_MWh,AnnualGridEnergy_MWh,GridPeak_MW,GridPeakValleyDiff_MW,GasEnergy_MWhth,AnnualGasEnergy_MWhth,CarbonEmission_tCO2,AnnualCarbonEmission_tCO2,CarbonQuota_tCO2,AnnualCarbonQuota_tCO2,CarbonSurplusBeforeTrade_tCO2,AnnualCarbonSurplusBeforeTrade_tCO2,CarbonBuyMarket_tCO2,AnnualCarbonBuyMarket_tCO2,CarbonSellMarket_tCO2,AnnualCarbonSellMarket_tCO2,CarbonTradeAbs_tCO2,AnnualCarbonTradeAbs_tCO2,CarbonUnusedAllowance_tCO2,AnnualCarbonUnusedAllowance_tCO2,RenewableAvailable_MWh,RenewableUse_MWh,RenewableUseRate_percent,RenewableCurtailment_MWh,AnnualRenewableCurtailment_MWh,RenewableCurtailmentRate_percent,H2Shortage_kg,AnnualH2Shortage_kg,HeatDump_MWh,StorageCharge_MWh,StorageDischarge_MWh,StorageSOCSwing_MWh,AvgMinimumVoltage_pu,GridVoltageDeviation_pu
Sunny_LowWind,晴天少风,85,19482.3497921394,1655999.73233185,6.39286889595466,543.393856156146,2.47131690904528,2.47131690904528,60.7288381573704,5161.95124337648,27.2365429777269,2315.10615310678,39.4784183156297,3355.66555682853,12.2418753379028,1040.55940372174,0,0,12.2418753379028,1040.55940372174,7.46487444116697,634.514327499193,0,0,102.159862899225,98.8369632129353,96.7473530288822,3.32289968628974,282.446473334628,3.2526469711178,7,595,0,19.0413464523834,17.184815173276,6.09,0.961677021148285,0.0243672873937614
Sunny_LowWind,晴天少风,85,19482.3511912526,1655999.85125647,6.39286889595467,543.393856156147,2.47127586696413,2.47127586696413,60.7288381573704,5161.95124337648,27.2365429777269,2315.10615310679,39.4784183156297,3355.66555682853,12.2418753379028,1040.55940372174,0,0,12.2418753379028,1040.55940372174,0,0,0,0,102.159862899225,98.8369632129353,96.7473530288822,3.32289968628974,282.446473334628,3.2526469711178,7,595,0,17.3312907732258,15.6414899228363,5.76402932938244,0.961679983103226,0.0243669636932595
Sunny_HighWind,晴天多风,60,20106.5729992703,1206394.37995622,4.68833953337172,281.300372002303,1.78031277528861,1.78031277195955,60.7288384918629,3643.73030951177,25.3956513781267,1523.7390826876,39.4784183156297,2368.70509893778,14.0827669375031,844.966016250183,0,0,14.0827669375031,844.966016250183,9.30576610899562,558.345966539737,0,0,111.000602817057,102.893794133135,92.6966084163675,8.10680868392222,486.408521035333,7.30339158363245,7.00000177085895,420.000106251537,1.46944799231864,21.6678940198823,19.555274149543,6.07603584059949,0.961677424726543,0.0243304825551764
Sunny_HighWind,晴天多风,60,20106.574074233,1206394.44445398,4.68834010796439,281.300406477864,1.78030916227814,1.78030916227814,60.7288381573704,3643.73028944222,25.3956518866974,1523.73911320184,39.4784183156297,2368.70509893778,14.0827664289323,844.96598573594,0,0,14.0827664289323,844.96598573594,2.19391217901911e-10,1.31634730741147e-08,0,0,111.000602817057,102.893795367538,92.6966095284364,8.10680744951909,486.408446971145,7.30339047156359,7,420,1.46945118248237,22.0937010171116,19.9395651679432,6.05622575181106,0.961681655749458,0.0243300616583858
Cloudy_MidWind,多云中风,100,20327.1890490085,2032718.90490085,6.8146739692111,681.46739692111,2.9051077126239,2.9051077126239,61.9986700477238,6199.86700477238,28.1172369736987,2811.72369736987,39.4784183156297,3947.84183156297,11.361181341931,1136.1181341931,0,0,11.361181341931,1136.1181341931,7.00932496205003,700.932496205003,0,0,100.909638924597,96.555889405557,95.6854968807355,4.35374951904025,435.374951904025,4.31450311926446,7,700,0,15.9907079777446,14.4316139499145,5.28,0.961677021148285,0.0243482403048257
Cloudy_MidWind,多云中风,100,20327.1907362234,2032719.07362234,6.81467396921107,681.467396921107,2.90536271285965,2.90536271285965,61.9986700477238,6199.86700477238,28.1172369736987,2811.72369736987,39.4784183156297,3947.84183156297,11.361181341931,1136.1181341931,0,0,11.361181341931,1136.1181341931,7.02889804406366e-10,7.02889804406366e-08,0,0,100.909638924597,96.555889405557,95.6854968807355,4.35374951904025,435.374951904025,4.31450311926446,7,700,0,16.6280677936152,15.0068311837377,5.28,0.961678951263264,0.0243480269959985
Rainy_LowWind,阴天少风,80,21637.1925006358,1730975.40005086,10.8662732184975,869.301857479801,4.60428495553581,4.60428495553581,63.7717946135414,5101.74356908331,33.0866129699746,2646.92903759797,39.4784183156297,3158.27346525038,6.3918053456551,511.344427652408,0,0,6.39180534565513,511.344427652411,3.07047364772837,245.63789181827,0,0,90.8186750321376,89.8274803640253,98.908600386692,0.991194668112218,79.2955734489774,1.09139961330802,7,560,0,14.6721056351835,13.2415753357531,5.28,0.96190382871012,0.0244899959829651
Rainy_LowWind,阴天少风,80,21637.192014175,1730975.361134,10.8662732184975,869.301857479797,4.27947914147339,4.27947914147339,63.7717946135414,5101.74356908331,33.0866129699746,2646.92903759796,39.4784183156297,3158.27346525038,6.39180534565516,511.344427652413,0,0,6.39180534565516,511.344427652413,0,0,0,0,90.8186750321376,89.8274803640253,98.908600386692,0.991194668112216,79.2955734489773,1.09139961330802,7,560,0,14.1254679011775,12.7482347808126,5.28,0.961903708548929,0.0243528106938133
Rainy_HighWind,阴天多风,40,23101.2499936033,924049.999744132,12.6639770908364,506.559083633457,5.76092094100279,5.76092094100279,64.9310682556208,2597.24273022483,35.4162623495232,1416.65049398093,39.4784183156297,1579.13673262519,4.06215596610649,162.48623864426,0,0,4.06215596610652,162.486238644261,3.02538857317115,121.015542926846,0,0,92.0986230385779,88.3629429914943,95.9438263854186,3.73568004708358,149.427201883343,4.0561736145814,7,280,0,17.1996765842861,15.5227081173182,5.28,0.96190382871012,0.0248181451783057
Rainy_HighWind,阴天多风,40,23110.1536607203,924406.14642881,10.6080529812268,424.32211924907,4.35758246431453,4.35758246431453,66.989294332035,2679.5717732814,33.8849661816228,1355.39864726491,39.4784183156297,1579.13673262519,5.59345213400691,223.738085360276,0,0,5.59345213400692,223.738085360277,1.99497253389712e-10,7.97989013558848e-09,0,0,92.0986230385779,88.3629429914944,95.9438263854186,3.73568004708358,149.427201883343,4.05617361458139,7,280,0,15.8596516575437,14.3133356209332,5.28,0.961905030786434,0.0247787915064963
