Scenario,Method,Iteration,PrimalResidual,DualResidual
Sunny_HighWind,admm,1,0.991619500454115,1
Sunny_HighWind,admm,2,0.264144051316148,0.418404331521162
Sunny_HighWind,admm,3,0.227820625883382,0.231176163112521
Sunny_HighWind,admm,4,0.149161850846469,0.159604126758658
Sunny_HighWind,admm,5,0.000550100061095104,0.0920195455320309
Sunny_HighWind,admm,6,0.000529412923424784,0.0505083493657465
Sunny_HighWind,admm,7,0.00023059047308293,0.0420315481479752
Sunny_HighWind,admm,8,0.00107375540730783,0.0396822884562133
Sunny_HighWind,admm,9,0.0125256424384612,0.0346623556728181
Sunny_HighWind,admm,10,0.0179444981040761,0.0260613531312607
Sunny_HighWind,admm,11,0.0056624843484389,0.0250850281869905
Sunny_HighWind,admm,12,0.00372255413432983,0.0241476980299707
Sunny_HighWind,admm,13,0.00414610245979867,0.0232770771796457
Sunny_HighWind,admm,14,0.00461597118399569,0.02230199692402
Sunny_HighWind,admm,15,0.00150883196675983,0.0215779575847874
Sunny_HighWind,admm,16,0.000185103093766282,0.0211182489651595
Sunny_HighWind,admm,17,1.73787158376294e-05,0.0205036680404016
Sunny_HighWind,admm,18,0.000111703746889764,0.0200287361702302
Sunny_HighWind,admm,19,0.000132895877741667,0.0195667791643686
Sunny_HighWind,admm,20,0.000189546371469608,0.0188546093371745
Sunny_HighWind,admm,21,0.00104956399212865,0.0175905349094843
Sunny_HighWind,admm,22,3.03782375897445e-05,0.0172202592903719
Sunny_HighWind,admm,23,0.000164168006779882,0.0168512547254237
Sunny_HighWind,admm,24,0.000251676887907521,0.0165815604078637
Sunny_HighWind,admm,25,0.000271286038325215,0.0161894841678754
Sunny_HighWind,admm,26,0.00097918251380077,0.0156098211192967
Sunny_HighWind,admm,27,0.000277961645614272,0.0152837991876517
Sunny_HighWind,admm,28,0.00193996503963518,0.0129603956069031
Sunny_HighWind,admm,29,0.00433674983411848,0.0140091313197731
Sunny_HighWind,admm,30,0.00120837102459701,0.0136019828132105
Sunny_HighWind,admm,31,0.000151586696865369,0.0132274638961603
Sunny_HighWind,admm,32,7.58957611067242e-05,0.012948933385545
Sunny_HighWind,admm,33,8.38237281924094e-05,0.012685759674483
Sunny_HighWind,admm,34,0.0034080624817469,0.0102835759124168
Sunny_HighWind,admm,35,0.00504401692069763,0.00793079548526664
Sunny_HighWind,admm,36,0.0034753330903198,0.00799327282504774
Sunny_HighWind,admm,37,0.000362711054090625,0.00804909403970111
Sunny_HighWind,admm,38,0.00119122576726586,0.00760521910416942
Sunny_HighWind,admm,39,0.00120498043044727,0.00737496338206353
Sunny_HighWind,admm,40,0.000557681098295243,0.0072840536341322
Sunny_HighWind,admm,41,6.86083176816836e-05,0.00716306414382495
Sunny_HighWind,admm,42,0.000425347938177067,0.00697398594694898
Sunny_HighWind,admm,43,0.000447210773509016,0.00686250361291984
Sunny_HighWind,admm,44,0.000305415993049888,0.00676928783562946
Sunny_HighWind,admm,45,0.000151272248898279,0.00667695045967854
Sunny_HighWind,admm,46,0.00010391312955467,0.00658244383121254
Sunny_HighWind,admm,47,0.000138500468164652,0.00648831629697412
Sunny_HighWind,admm,48,0.000139671883593219,0.00639702454537141
Sunny_HighWind,admm,49,0.00010126905654414,0.00630878876114367
Sunny_HighWind,admm,50,5.06651515049239e-05,0.00622258934911139
Sunny_HighWind,admm,51,3.66756071774511e-05,0.00613779570387268
Sunny_HighWind,admm,52,5.48485830642133e-05,0.00605449755975031
Sunny_HighWind,admm,53,5.12923967321084e-05,0.00593885883717787
Sunny_HighWind,admm,54,4.32495338118966e-05,0.0058589573607021
Sunny_HighWind,admm,55,3.82000197723787e-05,0.00578069111017473
Sunny_HighWind,admm,56,4.00785523488803e-05,0.00570388143837862
Sunny_HighWind,admm,57,4.25800002299258e-05,0.00562853147892723
Sunny_HighWind,admm,58,4.20214246752625e-05,0.00555464643411883
Sunny_HighWind,admm,59,3.9561345589064e-05,0.00548221355456644
Sunny_HighWind,admm,60,3.75607299768671e-05,0.00541120746956922
Sunny_HighWind,admm,61,7.20172007902864e-05,0.00525770038789207
Sunny_HighWind,admm,62,5.82040098366799e-05,0.00518983578140348
Sunny_HighWind,admm,63,4.24414597207589e-05,0.00500368324467653
Sunny_HighWind,admm,64,7.88368098071984e-06,0.00493969777581381
